"variable","skewness","recommend_log"
"sale_price",7.83328433403529,"Yes"
"number_of_bedrooms",0.883629491015513,"No"
"number_of_bathrooms",1.8169630592638,"Yes"
"total_livable_area",3.87594312299426,"Yes"
"year_built",0.545671916008893,"No"
"zip_code",-0.447930050259654,"No"
"category_code",NA,"No"
"exterior_condition",-1.62134517561034,"Yes"
"interior_condition",-0.77379642184341,"No"
"census_tract",-0.0201629877605656,"No"
"x_coord",0.537559034617588,"No"
"y_coord",0.216800461230286,"No"
"crime_count_15min_walk",0.68029093501574,"No"
"dist_to_park_ft",1.47530149838153,"Yes"
"park_within_15min_walk",0.871618088183125,"No"
"dist_transit_ft",2.34157252049875,"Yes"
"transit_15min_walk",0.597635491372393,"No"
"dist_to_hospital_ft",1.81695468071041,"Yes"
"hospitals_15min_walk",1.45764494189383,"Yes"
"total_popE",0.568591430618209,"No"
"median_incomeE",0.842002766628233,"No"
"per_cap_incomeE",1.74188062481374,"Yes"
"PCBACHMORE",0.763144110282903,"No"
"PCTPOVERTY",0.939180854548383,"No"
"dist_to_nearest_school_ft",1.36422286464005,"Yes"
"schools_within_15min_walk",0.488195803981607,"No"
