parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,x_coord,y_coord
252481105,2023/9/1,49500,0,0,2370,1915,19134,1,3,3,2705981.512,250218.3358
453343300,2023/8/1,309000,0,0,1792,1925,19137,1,4,4,2721016.132,254670.6704
581256100,2024/7/14,480000,0,0,1714,1955,19115,1,4,4,2727055.385,291818.2247
572336900,2024/6/4,211000,0,0,1465,1955,19114,1,4,4,2735299.851,278682.7057
344243300,2024/12/10,172000,0,0,2253,1925,19151,1,4,4,2669534.347,244972.6343
251079300,2023/4/21,265000,0,0,1530,1925,19134,1,4,3,2708748.049,247022.3244
342110600,2024/12/6,363000,0,0,1973,1925,19151,1,4,4,2670569.726,245744.1685
41354000,2024/11/1,77000,0,0,1596,1915,19131,1,4,4,2673604.479,244962.9044
632185500,2023/4/4,533000,0,0,1848,1965,19115,1,4,4,2724005.267,290315.7871
463158500,2024/12/1,45000,0,0,1560,1925,19143,1,4,5,2672489.267,233340.1317
552237500,2024/12/19,200000,0,1,1356,1950,19135,1,4,4,2725992.925,266670.3383
223056600,2024/12/19,85001,0,0,2853,1925,19119,1,5,4,2685666.618,270252.7721
22046300,2024/12/30,800000,0,0,2244,1915,19147,1,4,4,2698011.765,230919.7996
101251300,2024/12/20,203200,0,0,1918,1965,19126,1,4,4,2697144.724,274423.874
232064800,2024/12/10,58000,0,0,1200,1925,19124,1,4,4,2714714.506,259142.9511
342166000,2024/9/11,65000,0,0,840,1925,19151,1,4,4,2672156.819,243765.352
642298081,2024/12/13,490000,0,0,7206,1949,19136,1,4,4,2729954.088,270226.7705
652389505,2024/12/30,320000,0,0,935,1976,19114,1,4,4,2739610.811,273466.6328
511152200,2024/12/20,131250,0,0,1308,1925,19143,1,5,4,2677327.107,233271.8342
202070600,2024/12/13,165000,0,0,1880,1969,19122,1,3,4,2697914.02,247463.9883
888115888,2024/12/30,116000,0,1,403,1900,19107,1,3,4,2693537.909,234458.5779
888150620,2024/12/3,250000,0,1,656,1960,19130,1,4,4,2689365.903,241250.3521
41263900,2024/12/20,69000,0,0,1811,1915,19131,1,4,4,2673869.496,244801.0441
888110990,2024/12/19,412500,0,1,1024,2007,19130,1,4,3,2691486.329,239495.7476
888072884,2024/12/5,110775,0,1,455,1950,19130,1,4,4,2688582.069,241966.4435
888073234,2024/12/27,220000,0,1,956,1950,19130,1,4,4,2688582.069,241966.4435
281362100,2024/11/15,60000,0,0,2250,1915,19132,1,4,4,2690914.925,251890.1015
888093992,2024/12/27,367500,0,1,725,2007,19107,1,3,3,2694670.127,234512.5158
888049784,2024/12/14,204000,0,1,532,1900,19130,1,4,3,2693588.59,240556.109
353305900,2024/12/20,180000,0,0,1200,1955,19111,1,4,4,2712392.281,273975.1675
888110146,2024/12/20,550000,0,0,153,2006,19106,1,3,3,2698508.327,237696.1266
888115404,2024/12/31,58000,0,1,319,1900,19107,1,3,4,2693537.909,234458.5779
273127050,2024/10/24,165000,0,2,1470,2005,19143,1,4,3,2679860.062,232621.1013
888049352,2024/9/24,295000,0,1,639,1900,19107,1,4,3,2694116.814,234122.8975
151031140,2024/11/15,702000,0,0,1728,1988,19130,1,4,3,2692657.047,240371.0855
161174600,2024/11/4,115000,0,0,1998,1915,19132,1,3,5,2694128.851,251135.1108
562225600,2024/12/2,285000,0,0,1304,1960,19152,1,4,4,2723433.84,280576.3613
888073158,2024/11/27,175000,0,1,756,1950,19130,1,4,4,2688582.069,241966.4435
888073114,2024/12/30,130000,0,1,477,1950,19130,1,4,4,2688582.069,241966.4435
888059752,2024/12/23,220000,0,1,633,1899,19107,1,3,3,2693805.302,234351.126
422374500,2024/10/5,125000,0,0,1350,1940,19120,1,4,4,2703627.013,266293.4936
241070400,2024/12/23,265000,0,0,2091,1940,19104,1,7,7,2686579.573,238530.4395
182247200,2024/1/14,300000,0,0,1872,1915,19122,1,4,4,2699060.336,244162.0336
511179700,2024/11/20,280000,0,0,2958,1915,19143,1,4,4,2677787.86,232237.4255
888052168,2024/11/14,163750,0,1,504,1963,19106,1,4,4,2698810.57,233766.7558
273064800,2024/12/2,370000,0,0,944,1940,19143,1,4,4,2679290.941,231975.7345
273063300,2024/12/2,370000,0,0,1008,1940,19143,1,4,4,2679141.983,232129.9996
888093332,2024/11/26,304000,0,1,873,1900,19123,1,4,3,2698402.848,238763.2704
888052176,2024/11/21,575000,0,1,522,1963,19106,1,4,4,2698810.57,233766.7558
888110694,2024/10/28,200000,0,1,345,1928,19103,1,3,3,2691846.585,234890.0137
234144000,2024/11/27,275000,0,0,2216,1940,19124,1,4,5,2714268.948,262280.7483
601100200,2024/11/4,380000,0,0,1968,1925,19139,1,4,4,2677348.569,237477.044
33200105,2024/11/8,120100,0,0,1915,1920,19143,1,5,4,2671229.818,234076.8608
54007400,2024/11/26,250000,0,0,2697,1925,19107,1,4,4,2695873.053,237663.0636
581464400,2024/11/21,300000,0,0,1200,1965,19115,1,4,4,2730491.247,288835.1499
241190900,2024/11/26,350000,0,0,3147,1930,19104,1,2,2,2685048.927,239452.2497
451283200,2024/11/22,260000,0,0,1376,1920,19134,1,4,4,2711025.135,249415.4988
581283400,2024/11/19,470000,0,0,1644,1962,19115,1,4,4,2725965.37,288942.8193
888061748,2024/11/21,300000,0,1,842,2006,19123,1,3,3,2701562.464,239764.2894
581418900,2024/11/22,327000,0,0,908,1965,19115,1,4,4,2729104.522,285623.4392
152023200,2024/11/20,615000,0,0,1734,1920,19130,1,3,3,2690995.836,240524.9677
888072524,2024/11/27,127500,0,1,435,1950,19130,1,4,4,2688582.069,241966.4435
